Category,Food_Item,Travel_Time,Cooking_Status,Quantity,Compliance_Status,Special_Packing_Required,Packing_Guidelines,Image_URL
Vegetables,Carrot,3–5 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (No extra precautions needed.),packing-images\0001.jpg
Vegetables,Carrot,6–8 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Ensure airtight sealing for freshness.),packing-images\0001.jpg
Vegetables,Carrot,9–12 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Consider extra wrapping or a moisture-proof bag.),packing-images\0001.jpg
Vegetables,Carrot,13–18 hours,Cooked,1kg,Allowed,No,"Use resealable bags or food-grade wrapping paper, plus an additional protective layer (e.g., double wrapping or an extra sealed bag to prevent contamination).",packing-images\0001.jpg
Vegetables,Carrot,Above 18 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper inside a rigid container (to prevent crushing or exposure to moisture over long travel times).,packing-images\0001.jpg
Vegetables,Carrot,3–5 hours,Uncooked,1kg,Allowed,No,Use breathable containers or perforated bags to prevent moisture buildup.,packing-images\0002.jpg
Vegetables,Carrot,6–8 hours,Uncooked,1kg,Allowed,No,Pack in a sturdy container with some padding to prevent bruising.,packing-images\0002.jpg
Vegetables,Carrot,9–12 hours,Uncooked,1kg,Allowed,No,"Use firm, shock-absorbing packaging like foam trays or padded boxes.",packing-images\0002.jpg
Vegetables,Carrot,13–18 hours,Uncooked,1kg,Allowed,No,"Ensure rigid, ventilated containers with cushioning layers to minimize impact.",packing-images\0002.jpg
Vegetables,Carrot,Above 18 hours,Uncooked,1kg,Allowed,No,Pack in foam-lined or padded rigid containers to prevent crushing during long travel.,packing-images\0002.jpg
Vegetables,Broccoli,3–5 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper.,packing-images\0001.jpg
Vegetables,Broccoli,6–8 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Ensure airtight sealing for freshness.),packing-images\0001.jpg
Vegetables,Broccoli,9–12 hours,Cooked,1kg,Allowed,No,Use resealable bags or food-grade wrapping paper. (Consider extra wrapping or a moisture-proof bag.),packing-images\0001.jpg
Vegetables,Broccoli,13–18 hours,Cooked,1kg,Allowed,No,"Use resealable bags or food-grade wrapping paper, plus an additional protective layer (e.g., double wrapping or an extra sealed bag to prevent contamination).",packing-images\0001.jpg
