Category,Food Item,Cooking Status,Compliance Status,Special Packing Required,Packing Guidelines,Image URL
Vegetables,Carrot,Cooked,Allowed,No,Use resealable bags or food-grade wrapping paper.,packing-images\0001.jpg
Vegetables,Carrot,Uncooked,Allowed,No,Pack in sturdy containers to avoid damage.,packing-images\0002.jpg
Vegetables,Broccoli,Cooked,Allowed,No,Use resealable bags or food-grade wrapping paper.,packing-images\0001.jpg
Vegetables,Broccoli,Uncooked,Restricted,Yes,Use insulated coolers with ice packs to keep frozen. Ensure leak-proof packaging.,packing-images\0003.jpg
Vegetables,Spinach,Cooked,Allowed,No,Use resealable bags or food-grade wrapping paper.,packing-images\0001.jpg
Vegetables,Spinach,Uncooked,Restricted,Yes,Use insulated coolers with ice packs to keep frozen. Ensure leak-proof packaging.,packing-images\0003.jpg
Vegetables,Tomato,Cooked,Allowed,No,Pack in sturdy containers to avoid damage.,packing-images\0002.jpg
Vegetables,Tomato,Uncooked,Restricted,Yes,Use thermal bags to maintain temperature.,packing-images\0004.jpg
Vegetables,Onion,Cooked,Allowed,No,Pack in sturdy containers to avoid damage.,packing-images\0002.jpg
Vegetables,Onion,Uncooked,Restricted,Yes,Use vacuum-sealed bags to prevent contamination.,packing-images\0005.jpg
Vegetables,Potato,Cooked,Allowed,No,Use resealable bags or food-grade wrapping paper.,packing-images\0001.jpg
Vegetables,Potato,Uncooked,Allowed,No,Potatoes must be free of soil and pests.,packing-images\0012.jpg
Vegetables,Capsicum,Cooked,Allowed,No,Use resealable bags or food-grade wrapping paper.,packing-images\0001.jpg
Vegetables,Capsicum,Uncooked,Restricted,Yes,Capsicum must be in air-tight packages.,packing-images\0006.jpg
Vegetables,Lettuce,Cooked,Allowed,No,Pack in breathable mesh bags to maintain freshness.,packing-images\0007.jpg
Vegetables,Lettuce,Uncooked,Allowed,No,Must be commercially packed.,packing-images\0008.jpg
Vegetables,Fresh Peppers,Cooked,Allowed,No,Use resealable bags or food-grade wrapping paper.,packing-images\0001.jpg
Vegetables,Fresh Peppers,Uncooked,Allowed,No,Can be carried without restrictions.,packing-images\0009.jpg
Vegetables,Dried Mushrooms,Cooked,Allowed,No,Use resealable bags or food-grade wrapping paper.,packing-images\0001.jpg
Vegetables,Dried Mushrooms,Uncooked,Allowed,No,Must be in original sealed packaging.,packing-images\0010.jpg
Vegetables,Sweet Corn,Cooked,Allowed,No,Pack in breathable mesh bags or perforated plastic containers.,packing-images\0011.jpg
Vegetables,Sweet Corn,Uncooked,Allowed,No,Can be carried without restrictions.,packing-images\0009.jpg
Vegetables,Zucchini,Cooked,Allowed,No,Use resealable bags or food-grade wrapping paper.,packing-images\0001.jpg
Vegetables,Zucchini,Uncooked,Allowed,No,Requires no special handling.,packing-images\0013.jpg
Vegetables,Cabbage,Cooked,Allowed,No,Use resealable bags or food-grade wrapping paper.,packing-images\0001.jpg
Vegetables,Cabbage,Uncooked,Allowed,No,Suitable for all destinations.,packing-images\0014.jpg
Vegetables,Garlic,Cooked,Allowed,No,Use resealable bags or food-grade wrapping paper.,packing-images\0001.jpg
Vegetables,Garlic,Uncooked,Allowed,No,Pack in a ventilated container.,packing-images\0015.jpg
Vegetables,Chilies,Cooked,Allowed,No,Use resealable bags or food-grade wrapping paper.,packing-images\0001.jpg
Vegetables,Chilies,Uncooked,Allowed,No,Pack in an airtight bag.,packing-images\0020.jpg
Vegetables,Pumpkin,Cooked,Allowed,No,Use resealable bags or food-grade wrapping paper.,packing-images\0001.jpg
Vegetables,Pumpkin,Uncooked,Allowed,No,Cut into manageable sizes.,packing-images\0016.jpg
